@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
128,485,23,127,283,0.309756,0.954724,0.792484,0.954724,0.207516,0.866071,0.666667,1.432087,0.22007
129,485,23,126,284,0.307317,0.954724,0.793781,0.954724,0.206219,0.866845,0.665577,1.43443,0.220343
130,484,24,125,285,0.304878,0.952756,0.794745,0.952756,0.205255,0.866607,0.663399,1.436174,0.220808
131,484,24,122,288,0.297561,0.952756,0.79868,0.952756,0.20132,0.868941,0.660131,1.443284,0.22527
132,484,24,121,289,0.295122,0.952756,0.8,0.952756,0.2,0.869721,0.659041,1.445669,0.234424
133,484,24,119,291,0.290244,0.952756,0.802653,0.952756,0.197347,0.871287,0.656863,1.450464,0.236437
134,484,24,118,292,0.287805,0.952756,0.803987,0.952756,0.196013,0.872072,0.655773,1.452874,0.241285
135,483,25,117,293,0.285366,0.950787,0.805,0.950787,0.195,0.871841,0.653595,1.454705,0.249547
136,483,25,115,295,0.280488,0.950787,0.807692,0.950787,0.192308,0.873418,0.651416,1.45957,0.250696
137,483,25,114,296,0.278049,0.950787,0.809045,0.950787,0.190955,0.874208,0.650327,1.462015,0.255458
138,483,25,113,297,0.27561,0.950787,0.810403,0.950787,0.189597,0.875,0.649237,1.464468,0.257345
139,483,25,112,298,0.273171,0.950787,0.811765,0.950787,0.188235,0.875793,0.648148,1.466929,0.257504
140,482,26,112,298,0.273171,0.948819,0.811448,0.948819,0.188552,0.874773,0.647059,1.466356,0.257817
141,482,26,111,299,0.270732,0.948819,0.812816,0.948819,0.187184,0.875568,0.645969,1.468829,0.258955
142,481,27,111,299,0.270732,0.94685,0.8125,0.94685,0.1875,0.874545,0.64488,1.468258,0.260681
143,480,28,111,299,0.270732,0.944882,0.812183,0.944882,0.187817,0.873521,0.643791,1.467685,0.265195
144,480,28,110,300,0.268293,0.944882,0.813559,0.944882,0.186441,0.874317,0.642702,1.470172,0.268737
145,480,28,109,301,0.265854,0.944882,0.814941,0.944882,0.185059,0.875114,0.641612,1.472668,0.272849
