@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
170,481,27,124,286,0.302439,0.94685,0.795041,0.94685,0.204959,0.864331,0.659041,1.436709,0.330449
171,479,29,120,290,0.292683,0.942913,0.799666,0.942913,0.200334,0.865402,0.652505,1.445066,0.33225
172,478,30,120,290,0.292683,0.940945,0.799331,0.940945,0.200669,0.864376,0.651416,1.444461,0.333535
173,478,30,119,291,0.290244,0.940945,0.80067,0.940945,0.19933,0.865158,0.650327,1.44688,0.33379
174,475,33,112,298,0.273171,0.935039,0.809199,0.935039,0.190801,0.86758,0.639434,1.462293,0.33751
175,473,35,108,302,0.263415,0.931102,0.814114,0.931102,0.185886,0.868687,0.632898,1.471174,0.337612
176,473,35,107,303,0.260976,0.931102,0.815517,0.931102,0.184483,0.869485,0.631808,1.47371,0.342056
177,473,35,106,304,0.258537,0.931102,0.816926,0.931102,0.183074,0.870285,0.630719,1.476256,0.343737
178,472,36,101,309,0.246341,0.929134,0.823735,0.929134,0.176265,0.873265,0.624183,1.48856,0.344922
179,471,37,94,316,0.229268,0.927165,0.833628,0.927165,0.166372,0.877912,0.615468,1.506439,0.345152
180,470,38,94,316,0.229268,0.925197,0.833333,0.925197,0.166667,0.876866,0.614379,1.505906,0.348586
181,470,38,91,319,0.221951,0.925197,0.83779,0.925197,0.16221,0.879326,0.611111,1.513958,0.348731
182,469,39,91,319,0.221951,0.923228,0.8375,0.923228,0.1625,0.878277,0.610022,1.513435,0.350291
183,469,39,90,320,0.219512,0.923228,0.838998,0.923228,0.161002,0.8791,0.608932,1.516142,0.350867
184,469,39,89,321,0.217073,0.923228,0.840502,0.923228,0.159498,0.879925,0.607843,1.51886,0.363091
185,468,40,89,321,0.217073,0.92126,0.840215,0.92126,0.159785,0.878873,0.606754,1.518342,0.369607
186,468,40,88,322,0.214634,0.92126,0.841727,0.92126,0.158273,0.879699,0.605664,1.521073,0.381833
187,468,40,87,323,0.212195,0.92126,0.843243,0.92126,0.156757,0.880527,0.604575,1.523814,0.384449
188,467,41,87,323,0.212195,0.919291,0.84296,0.919291,0.15704,0.879473,0.603486,1.523302,0.396428
189,466,42,87,323,0.212195,0.917323,0.842676,0.917323,0.157324,0.878417,0.602397,1.522789,0.398575
190,465,43,86,324,0.209756,0.915354,0.84392,0.915354,0.15608,0.878187,0.600218,1.525037,0.421026
191,464,44,86,324,0.209756,0.913386,0.843636,0.913386,0.156364,0.877127,0.599129,1.524524,0.424039
192,463,45,86,324,0.209756,0.911417,0.843352,0.911417,0.156648,0.876064,0.598039,1.524009,0.427433
193,463,45,85,325,0.207317,0.911417,0.844891,0.911417,0.155109,0.876894,0.59695,1.52679,0.433159
194,463,45,84,326,0.204878,0.911417,0.846435,0.911417,0.153565,0.877725,0.595861,1.529582,0.442065
195,463,45,83,327,0.202439,0.911417,0.847985,0.911417,0.152015,0.878558,0.594771,1.532383,0.444342
196,462,46,81,329,0.197561,0.909449,0.850829,0.909449,0.149171,0.879163,0.591503,1.537521,0.452856
197,461,47,81,329,0.197561,0.90748,0.850554,0.90748,0.149446,0.878095,0.590414,1.537024,0.462263
198,461,47,80,330,0.195122,0.90748,0.852126,0.90748,0.147874,0.878932,0.589325,1.539865,0.480509
199,459,49,80,330,0.195122,0.903543,0.851577,0.903543,0.148423,0.876791,0.587146,1.538873,0.484476
200,458,50,80,330,0.195122,0.901575,0.851301,0.901575,0.148699,0.875717,0.586057,1.538375,0.488279
201,457,51,80,330,0.195122,0.899606,0.851024,0.899606,0.148976,0.874641,0.584967,1.537874,0.496237
202,456,52,80,330,0.195122,0.897638,0.850746,0.897638,0.149254,0.873563,0.583878,1.537372,0.499603
203,455,53,80,330,0.195122,0.895669,0.850467,0.895669,0.149533,0.872483,0.582789,1.536868,0.507103
204,455,53,79,331,0.192683,0.895669,0.85206,0.895669,0.14794,0.873321,0.581699,1.539746,0.50819
205,454,54,79,331,0.192683,0.893701,0.851782,0.893701,0.148218,0.872238,0.58061,1.539245,0.512648
206,453,55,79,331,0.192683,0.891732,0.851504,0.891732,0.148496,0.871154,0.579521,1.538741,0.521831
207,448,60,79,331,0.192683,0.88189,0.850095,0.88189,0.149905,0.8657,0.574074,1.536195,0.522435
208,447,61,79,331,0.192683,0.879921,0.84981,0.879921,0.15019,0.864603,0.572985,1.53568,0.527141
209,447,61,78,332,0.190244,0.879921,0.851429,0.879921,0.148571,0.86544,0.571895,1.538605,0.529561
210,447,61,77,333,0.187805,0.879921,0.853053,0.879921,0.146947,0.866279,0.570806,1.541541,0.534717
211,446,62,77,333,0.187805,0.877953,0.852772,0.877953,0.147228,0.865179,0.569717,1.541034,0.536657
212,445,63,77,333,0.187805,0.875984,0.85249,0.875984,0.14751,0.864078,0.568627,1.540524,0.537302
213,445,63,73,337,0.178049,0.875984,0.859073,0.875984,0.140927,0.867446,0.56427,1.55242,0.53748
214,443,65,70,340,0.170732,0.872047,0.863548,0.872047,0.136452,0.867777,0.558824,1.560506,0.541996
215,442,66,68,342,0.165854,0.870079,0.866667,0.870079,0.133333,0.868369,0.555556,1.566142,0.543768
216,439,69,66,344,0.160976,0.864173,0.869307,0.864173,0.130693,0.866732,0.550109,1.570913,0.548127
217,436,72,64,346,0.156098,0.858268,0.872,0.858268,0.128,0.865079,0.544662,1.57578,0.549358
218,434,74,63,347,0.153659,0.854331,0.873239,0.854331,0.126761,0.863682,0.541394,1.578019,0.555819
219,434,74,62,348,0.15122,0.854331,0.875,0.854331,0.125,0.864542,0.540305,1.581201,0.55625
220,431,77,62,348,0.15122,0.848425,0.874239,0.848425,0.125761,0.861139,0.537037,1.579826,0.55816
221,430,78,62,348,0.15122,0.846457,0.873984,0.846457,0.126016,0.86,0.535948,1.579364,0.567233
222,427,81,61,349,0.14878,0.840551,0.875,0.840551,0.125,0.85743,0.53159,1.581201,0.569897
223,425,83,60,350,0.146341,0.836614,0.876289,0.836614,0.123711,0.855992,0.528322,1.58353,0.574209
224,424,84,60,350,0.146341,0.834646,0.876033,0.834646,0.123967,0.854839,0.527233,1.583068,0.577378
225,424,84,59,351,0.143902,0.834646,0.877847,0.834646,0.122153,0.855701,0.526144,1.586345,0.578607
226,424,84,58,352,0.141463,0.834646,0.879668,0.834646,0.120332,0.856566,0.525054,1.589636,0.5795
227,423,85,57,353,0.139024,0.832677,0.88125,0.832677,0.11875,0.856275,0.522876,1.592495,0.584404
228,422,86,57,353,0.139024,0.830709,0.881002,0.830709,0.118998,0.855117,0.521786,1.592047,0.585581
229,419,89,57,353,0.139024,0.824803,0.880252,0.824803,0.119748,0.851626,0.518519,1.590692,0.588168
230,417,91,56,354,0.136585,0.820866,0.881607,0.820866,0.118393,0.850153,0.515251,1.59314,0.591374
231,415,93,56,354,0.136585,0.816929,0.881104,0.816929,0.118896,0.847804,0.513072,1.592231,0.592798
232,412,96,56,354,0.136585,0.811024,0.880342,0.811024,0.119658,0.844262,0.509804,1.590854,0.598242
233,411,97,56,354,0.136585,0.809055,0.880086,0.809055,0.119914,0.843077,0.508715,1.590391,0.603766
234,410,98,56,354,0.136585,0.807087,0.879828,0.807087,0.120172,0.841889,0.507625,1.589926,0.608224
235,409,99,55,355,0.134146,0.805118,0.881466,0.805118,0.118534,0.841564,0.505447,1.592885,0.609081
236,409,99,54,356,0.131707,0.805118,0.883369,0.805118,0.116631,0.84243,0.504357,1.596325,0.609537
237,408,100,54,356,0.131707,0.80315,0.883117,0.80315,0.116883,0.841237,0.503268,1.595869,0.610941
238,408,100,53,357,0.129268,0.80315,0.885033,0.80315,0.114967,0.842105,0.502179,1.59933,0.612118
239,408,100,52,358,0.126829,0.80315,0.886957,0.80315,0.113043,0.842975,0.501089,1.602807,0.61462
240,407,101,52,358,0.126829,0.801181,0.88671,0.801181,0.11329,0.841779,0.5,1.602362,0.61712
241,406,102,52,358,0.126829,0.799213,0.886463,0.799213,0.113537,0.84058,0.498911,1.601915,0.617435
